title;start_time;end_time;description;exercise_title;exercise_notes;set_index;set_type;weight_kg;reps;distance_km;duration_seconds;rpe
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Lat Pulldown (Cable);;2;normal;50;11;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Chin Ups (Cable);;0;normal;55;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Chin Ups (Cable);;1;normal;55;11;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Chin Ups (Cable);;2;normal;55;11;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Seated Cable Row - Bar Grip;;0;normal;40;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Seated Cable Row - Bar Grip;;1;normal;40;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Seated Cable Row - Bar Grip;;2;normal;40;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Bicep Curl (Dumbbell);;0;normal;8;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Bicep Curl (Dumbbell);;1;normal;8;11;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Bicep Curl (Dumbbell);;2;normal;8;9;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Face Pull;;0;normal;40;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Face Pull;;1;normal;40;12;;;
Espalda-Bíceps;21 Dec 2023, 15:20;21 Dec 2023, 16:55;;Face Pull;;2;normal;40;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Bench Press (Barbell);;0;normal;50;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Bench Press (Barbell);;1;normal;50;10;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Bench Press (Barbell);;2;normal;50;9;;;
